Energia,Ao_vivo,Tempo,Falado,Orgânico,Instrumental,Compasso,Dançabilidade,Tom,Duração,Força,Positividade,Modo,Tipo,Music_id,Playlist_name,Album_name,Artista,Music_name
"0,231","0,237","89,891","0,0343","0,89","0,0000905",4,"0,573",7,87855,"0,188842612522344","0,829",0,audio_features,0uiMjiwxT2PLpoFNPJOYjF,Sad,Asas para voar,Magyn,Asas para voar
"0,283","0,104","80,022","0,0706","0,15",0,4,"0,527",7,157205,"0,194177989440975","0,17",1,audio_features,5jLK8mmjjA8By03E4XFfcJ,Sad,Preciso de Você Aqui,Gssis,Preciso de Você Aqui
"0,348","0,205","108,618","0,055","0,488","0,00000116",4,"0,577",6,168056,"0,21832325618462","0,279",1,audio_features,1mYSe1TMhAxTCIEmaWow5b,Sad,Sonhos&Pesadelos,Lucas Muto,Saudade De Nós 2
"0,371","0,114","79,026","0,0343","0,902","0,0000161",4,"0,452",9,172033,"0,230940445891927","0,0641",0,audio_features,1980V5k4uyAV28dLybCE7M,Sad,Tudo se vai,Magyn,Tudo se vai
"0,315","0,102","145,507","0,191","0,944","0,000298",5,"0,484",2,274413,"0,189670592121115","0,159",0,audio_features,6W1QsBlOYq1eAGQOPoKMDk,Sad,Escrevi Isso pra Vc,MrAlls,Escrevi Isso pra Vc
"0,305","0,11","87,988","0,0578","0,635","0,000183",4,"0,634",11,177659,"0,272583773892853","0,11",1,audio_features,22zKtsHF9i9F2J2dXoPTJ3,Sad,A Culpa É das Estrelas,MrAlls,A Culpa É das Estrelas
"0,324","0,104","199,788","0,0887","0,516","0,00000245",4,"0,375",0,225606,"0,222433399848511","0,207",1,audio_features,73gzX8865CSNYGEosGyUfV,Sad,Meu Coração Está Morrendo,Hiosaki,Meu Coração Está Morrendo
"0,419","0,112","175,984","0,0453","0,856","0,00796",4,"0,596",3,185275,"0,353467916521572","0,468",0,audio_features,5KZEse6pvP3dF7dkvn0aKe,Sad,Espera o Sol Chegar,Magyn,Espera o Sol Chegar
"0,0366","0,121","89,643","0,0382","0,755","0,88",3,"0,149",1,180590,"0,076815701324382","0,121",1,audio_features,0v7PpG98TDickF5DL15Dj5,Sleepy,Wax Figures,Infinity Ripple,Torn Apart
"0,00272","0,116","68,22","0,041","0,987","0,879",4,"0,201",10,152000,"0,0174401413295528","0,0992",1,audio_features,2qHGPanT2ux9hwZDbmPr8t,Sleepy,Éjszakai,Vas Bela,Éjszakai
"0,00988","0,0974","69,683","0,0435","0,977","0,754",3,"0,204",7,161500,"0,0205376146087284","0,0746",1,audio_features,6CtgSHDxivSLqi4vjYCUs8,Sleepy,Continuation,Yonatan Awate,Continuation
"0,0646","0,0928","120,104","0,0396","0,962","0,961",4,"0,24",4,256125,"0,0717711656906523","0,0371",1,audio_features,3SDO8hL0wQ3Dxr6NN1CUbH,Sleepy,W.E.,Asa Bjorg,W.E.
"0,0152","0,0574","70,955","0,0494","0,991","0,911",4,"0,136",7,173500,"0,0272050795400826","0,0376",1,audio_features,5ptMWCoMxUP5phRKZ5MyBx,Sleepy,Lunaria,Francesca Caroléo,Celandine
"0,00449","0,0705","73,356","0,0375","0,994","0,852",4,"0,232",1,153500,"0,0184289248897055","0,0988",0,audio_features,72mDETn3Ba8yVewAcqnlqQ,Sleepy,Lyrebird,Keira Conlon,Lyrebird
"0,00595","0,0901","171,571","0,0489","0,917","0,927",4,"0,0869",8,207750,"0,023482806526941","0,0687",1,audio_features,73i52XKTluKF3oCko4feAu,Sleepy,Abandoned Lights,Everything Will Rust,Abandoned Lights
"0,0163","0,0903","131,607","0,0402","0,953","0,95",4,"0,34",4,185250,"0,0422668614265603","0,136",1,audio_features,2yZ0oy5TdfoynH4RmAsF1o,Sleepy,Finding Home,Lost Wings,Finding Home
"0,0131","0,0864","64,27","0,0405","0,976","0,958",4,"0,225",5,208889,"0,0350913438358552","0,0762",0,audio_features,5ca7B7Qi2gpzPELK9lBab0,Sleepy,Finding Calmness,Naturally Recurring,Finding Calmness
"0,00463","0,102","57,212","0,0403","0,99","0,915",4,"0,0693",10,253243,"0,0138388499358417","0,0371",0,audio_features,24IaFnEXk9WWXYubveHCR3,Sleepy,World of Wonders,Atmos 11,Sideshift
"0,0165","0,128","71,044","0,0409","0,992","0,921",3,"0,371",11,105025,"0,0412952405236922","0,149",1,audio_features,3vU8mciK9Ec13Kg9AtbQEu,Sleepy,Maroon Lake,Reversible,Maroon Lake
"0,00613","0,095","90,648","0,0319","0,987","0,909",4,"0,312",1,184000,"0,0413428108047135","0,111",1,audio_features,1DzIfBEPXivn7orD1D7eiO,Sleepy,Spots,Mila Duran,Spots
"0,102","0,0868","110,995","0,0361","0,99","0,904",3,"0,421",7,175093,"0,0501244938261602","0,3",0,audio_features,2HZvqPIKMNyKyP53u9JZ5O,Sleepy,Omkuld,Jacob David,Judith
"0,00329","0,114","58,54","0,0499","0,977","0,816",4,"0,185",2,180750,"0,0239772846996382","0,071",1,audio_features,7zCXE5rdGmk2YzsSWuhO8I,Sleepy,Phosphenes,Koby Laver,Phosphenes
"0,0086","0,113","71,76","0,0402","0,993","0,773",3,"0,195",8,232750,"0,0203446395604797","0,0716",1,audio_features,3i066yEKcUByD71IIhr8f5,Sleepy,Dromen over jou,Niel Hupkes,Dromen over jou
"0,00588","0,118","69,468","0,0391","0,99","0,829",4,"0,203",5,187250,"0,0184926861897808","0,0418",1,audio_features,3CkHOquzU3g6ekoYiuo5Fo,Sleepy,No me despiertes,Artura Ponce Valles,No me despiertes
"0,00124","0,0959","69,482","0,0384","0,995","0,94",3,"0,306",2,205000,"0,0172862185702034","0,165",1,audio_features,6LQcnAe3uf9lfQ4YhPSHQW,Sleepy,Mi Manchi Tu,Donna Vellema,Mi Manchi Tu
"0,00249","0,11","67,725","0,0351","0,994","0,946",3,"0,324",0,237861,"0,0193932233849809","0,0362",1,audio_features,7zoNjIq4DZadcFOxwKvrlC,Sleepy,Parts Unknown,Night Poets,Parts Unknown
"0,00531","0,122","60,849","0,0383","0,995","0,882",4,"0,162",7,193500,"0,0189605093531272","0,0733",0,audio_features,62RkIz0nURCnDM5qvdWXbh,Sleepy,Suis moi,Nuit Pluie,Suis moi
"0,0319","0,0891","120,041","0,0463","0,986","0,946",3,"0,623",0,140689,"0,099208755096469","0,202",1,audio_features,4rOMU6MPCkqxuUovno9FVL,Sleepy,Moving,Ron Dahlgreen,Moving
"0,0989","0,0799","152,84","0,0326","0,991","0,805",4,"0,374",9,185390,"0,0381197461598236","0,342",1,audio_features,7uvey8m0ZfknE25sBVWoGY,Sleepy,Fragment,Ever So Blue,Cessura
"0,00759","0,113","70,872","0,0454","0,974","0,925",4,"0,175",7,133500,"0,0176359963389799","0,0838",1,audio_features,6RuFOroO9VO0aMGEzirLHk,Sleepy,Med slutna ögon,Najma Wallin,Med slutna ögon
"0,0563","0,104","70,185","0,0435","0,993","0,923",5,"0,393",8,112440,"0,0640619272626898","0,345",0,audio_features,5399qRI8W27gFhEdl0WYST,Sleepy,Pachm,Aenor,Pachm
